event_date,latitude,longitude,state,district
2024-05-28,23.72428333,92.70737778,Mizoram,Aizawl
2024-05-28,23.72276944,92.70665,Mizoram,Aizawl
2024-05-28,23.71446389,92.71146389,Mizoram,Aizawl
2024-05-28,23.71581111,92.70935,Mizoram,Aizawl
2024-05-28,23.71595,92.70879444,Mizoram,Aizawl
2024-05-28,23.7175,92.70666667,Mizoram,Aizawl
2024-05-28,23.71740833,92.70644167,Mizoram,Aizawl
2024-05-28,23.71735556,92.70753333,Mizoram,Aizawl
2024-05-28,23.71721667,92.70777778,Mizoram,Aizawl
2024-05-28,23.71697222,92.70817222,Mizoram,Aizawl
2024-05-28,23.71305556,92.70895833,Mizoram,Aizawl
2024-05-28,23.71523056,92.71529167,Mizoram,Aizawl
2024-05-28,23.74,92.715,Mizoram,Aizawl
2024-05-28,23.73944444,92.71472222,Mizoram,Aizawl
2024-05-28,23.71138889,92.72444444,Mizoram,Aizawl
2024-05-28,23.71638889,92.72111111,Mizoram,Aizawl
2024-05-28,23.71444444,92.72861111,Mizoram,Aizawl
2024-05-28,23.71571389,92.72659722,Mizoram,Aizawl
2024-05-28,23.7104,92.72237778,Mizoram,Aizawl
2024-05-28,23.71865833,92.72335278,Mizoram,Aizawl
2023-09-19,23.7175,92.71972222,Mizoram,Aizawl
2024-05-28,23.71,92.71611111,Mizoram,Aizawl
2024-05-28,23.70666667,92.71444444,Mizoram,Aizawl
2024-05-28,23.70527778,92.71138889,Mizoram,Aizawl
2024-05-28,23.70416667,92.71222222,Mizoram,Aizawl
2024-05-28,23.70027778,92.71611111,Mizoram,Aizawl
2024-05-28,23.69972222,92.71694444,Mizoram,Aizawl
2024-05-28,23.68027778,92.72472222,Mizoram,Aizawl
2024-05-28,23.67805556,92.72,Mizoram,Aizawl
2024-05-28,23.64333333,92.73444444,Mizoram,Aizawl
2023-10-02,23.64638889,92.72638889,Mizoram,Aizawl
2024-05-28,23.64638889,92.72527778,Mizoram,Aizawl
2024-05-28,23.63111111,92.72388889,Mizoram,Aizawl
2024-05-28,23.63055556,92.72305556,Mizoram,Aizawl
2024-05-28,23.62833333,92.72333333,Mizoram,Aizawl
2024-05-28,23.62277778,92.72444444,Mizoram,Aizawl
2024-05-28,23.62194444,92.72305556,Mizoram,Aizawl
2024-05-28,23.62083333,92.7225,Mizoram,Aizawl
2024-05-28,23.61916667,92.7225,Mizoram,Aizawl
2024-05-28,23.62,92.72472222,Mizoram,Aizawl
2024-05-28,23.61972222,92.72527778,Mizoram,Aizawl
2024-05-28,23.62027778,92.72555556,Mizoram,Aizawl
2024-05-28,23.62027778,92.72611111,Mizoram,Aizawl
2024-05-28,23.62111111,92.72444444,Mizoram,Aizawl
2024-05-28,23.68743333,92.72129167,Mizoram,Aizawl
2024-05-28,23.67694444,92.71722222,Mizoram,Aizawl
2024-05-28,23.67583333,92.715,Mizoram,Aizawl
2024-05-28,23.67472222,92.71722222,Mizoram,Aizawl
2024-05-28,23.67444444,92.71472222,Mizoram,Aizawl
2024-05-28,23.67388889,92.71472222,Mizoram,Aizawl
2024-05-28,23.672069,92.7099293,Mizoram,Aizawl
2024-05-28,23.684301,92.715511,Mizoram,Aizawl
2024-05-28,23.70638889,92.72055556,Mizoram,Aizawl
2024-05-28,23.70416667,92.72,Mizoram,Aizawl
2024-05-28,23.70305556,92.72055556,Mizoram,Aizawl
2024-05-28,23.69333333,92.72055556,Mizoram,Aizawl
2024-05-28,23.69,92.72361111,Mizoram,Aizawl
2024-05-28,23.68361111,92.72277778,Mizoram,Aizawl
2024-05-28,23.67611111,92.71972222,Mizoram,Aizawl
2024-05-28,23.67138889,92.72361111,Mizoram,Aizawl
2024-05-28,23.66694444,92.72194444,Mizoram,Aizawl
2024-05-28,23.66666667,92.72388889,Mizoram,Aizawl
2024-05-28,23.66027778,92.72694444,Mizoram,Aizawl
2024-05-28,23.64388889,92.72583333,Mizoram,Aizawl
2024-05-28,23.635,92.72361111,Mizoram,Aizawl
2024-05-28,23.43277778,92.76111111,Mizoram,Aizawl
