slno,slide_no,state,district,slide_name,nh_sh_location,latitude,longitude,material_involved,movement_type,history,label,event_date,rainfall_eligible,rainfall_mm,rainfall_raw,rainfall_status,elevation_m,slope_deg,aspect_deg
722,ASM/DH/83G4/ PD/2016/23,Assam,Dima Hasao,Mahur,"Mahur, Dima Hasao (NC Hills)",25.17638889,93.11613889,Debris,Slide,22 May 2016,1,2016-05-22,True,0.8,8.0,ok,564.0,15.024275874900376,164.5575929777429
723,ASM/DH/83G4/ PD/2016/05,Assam,Dima Hasao (N.C. Hills),Khongsai slide-1,"Khongsai village, Haflong,",25.1775,93.02622222,Earth,Shallow rotational,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,484.0,15.493169534680346,7.406776072825707
724,ASM/DH/83G4/ PD/2016/08,Assam,Dima Hasao,Khongsai slide- 2,"Khongsai village, Haflong, Dima Hasao (NC Hills)",25.17691667,93.02655556,Earth,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,452.0,24.89511064718753,25.05557532480367
725,ASM/DH/83G4/ PD/2016/09,Assam,Dima Hasao,Muolhoi /Gilgal,"Muolhoi /Gilgal village, Haflong, Dima Hasao (NC Hills)",25.17702778,93.02088889,Earth,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,571.0,8.994537860685414,52.19882681400998
727,ASM/DH/83G4/ PD/2016/19,Assam,Dima Hasao,Jatinga-2,"Jatinga, Haflong, Dima Hasao (NC Hills)",25.13447222,93.01897222,Rock,Slide,22 May 2016,1,2016-05-22,True,0.7,7.0,ok,757.0,12.359158906317498,63.71950304425975
728,ASM/KAM (M)/78N16/2017/0006,Assam,Kamrup (Metro),"Bonda, Hajongdisa slide",Tuinang colony,26.18841667,91.85125,Earth,Slide,16 June 2017,1,2017-06-16,True,78.8,788.0,ok,96.0,29.649489323527888,20.378275169743688
729,ASM/KAM(M)/78N16/2016/63,Assam,Kamrup (Metro),Mandakini slide,"Mandakini path, Kharghuli",26.19244444,91.76422222,Earth,Slide,20 July 2016,1,2016-07-20,True,14.6,146.0,ok,101.0,15.151353433007086,86.57658287738205
730,ASM/KAM/78N16/2019/03,Assam,Kamrup (Metro),Amiya Nagar Slide,Chandmari,26.19236111,91.78080556,Debris,Subsidence,10 July 2019,1,2019-07-10,True,55.1,551.0,ok,91.0,12.039212769849623,9.728840464100315
731,ASM/KAM/78N12/2019/04,Assam,Kamrup (Metro),Bezbaruah Nagar slide,"Nilachalpur, Bezbaruah Nagar",26.15805556,91.71258333,Debris,Slide,16 July 2019,1,2019-07-16,True,1.9,19.0,ok,85.0,18.82820039971496,198.4812537781418
732,ASM/West Sarania/78N16/2016- 17/65,Assam,Kamrup (Metro),West Sarania slide (Guwahati),"Pub Sarania hill, Guwahati.",26.1755,91.76175,Debris,Slide,14 July 2016,1,2016-07-14,True,10.8,108.0,ok,62.0,6.457665776341533,0.0
733,ASM/ Nijabara/78N16/2016- 17/64,Assam,Kamrup (Metro),Nijabara slide (Guwahati),"Noonmati, Guwahati.",26.19038889,91.80994444,Earth,Slide,14 July 2016,1,2016-07-14,True,5.4,54.0,ok,94.0,21.292866168991623,185.30571789658347
